test_ids,probabilities,predicted_labels
MCICTL173,0.925481441,CTL
MCICTL174,0.714164276,MCI
MCICTL175,0.884528125,MCI
MCICTL176,0.964641703,MCI
MCICTL177,0.948215152,MCI
MCICTL178,0.659087074,MCI
MCICTL179,0.645309182,MCI
MCICTL180,0.98601391,CTL
MCICTL181,0.727335081,CTL
MCICTL182,0.581531835,CTL
MCICTL183,0.995792875,MCI
MCICTL184,0.738928314,CTL
MCICTL185,0.867398517,CTL
MCICTL186,0.90883017,CTL
MCICTL187,0.856724954,CTL
MCICTL188,0.783619861,MCI
MCICTL189,0.58768605,MCI
MCICTL190,0.744703197,MCI
MCICTL191,0.710634297,CTL
MCICTL192,0.505216558,MCI
MCICTL193,0.936338974,CTL
MCICTL194,0.77699179,CTL
MCICTL195,0.991151166,MCI
MCICTL196,0.508318566,MCI
MCICTL197,0.615976822,CTL
MCICTL198,0.907679873,CTL
MCICTL199,0.755431022,MCI
MCICTL200,0.980209685,MCI
MCICTL201,0.732938797,MCI
MCICTL202,0.553282216,CTL
MCICTL203,0.538133969,MCI
MCICTL204,0.691367636,MCI
MCICTL205,0.911034729,MCI
MCICTL206,0.881685306,MCI
MCICTL207,0.550442143,MCI
MCICTL208,0.993916663,CTL
MCICTL209,0.999335211,CTL
MCICTL210,0.991171736,CTL
MCICTL211,0.995311545,CTL
MCICTL212,0.992420135,CTL
MCICTL213,0.997743633,CTL
MCICTL214,0.679083154,MCI
MCICTL215,0.991476033,MCI
