test_ids,probabilities,predicted_labels
ADMCI173,0.946893099,AD
ADMCI174,0.636041255,MCI
ADMCI175,0.967170206,AD
ADMCI176,0.717253581,MCI
ADMCI177,0.652211219,AD
ADMCI178,0.811628448,MCI
ADMCI179,0.9308095,MCI
ADMCI180,0.644790412,AD
ADMCI181,0.995876577,AD
ADMCI182,0.750936579,AD
ADMCI183,0.805151156,AD
ADMCI184,0.986451616,AD
ADMCI185,0.536906102,MCI
ADMCI186,0.629943883,AD
ADMCI187,0.880892373,MCI
ADMCI188,0.806762554,MCI
ADMCI189,0.670972656,MCI
ADMCI190,0.674669052,AD
ADMCI191,0.879357502,AD
ADMCI192,0.849051857,AD
ADMCI193,0.733912131,MCI
ADMCI194,0.93215681,AD
ADMCI195,0.758803884,AD
ADMCI196,0.662772734,AD
ADMCI197,0.881055894,MCI
ADMCI198,0.902410095,AD
ADMCI199,0.649891064,MCI
ADMCI200,0.939511752,MCI
ADMCI201,0.918866023,AD
ADMCI202,0.606535321,AD
ADMCI203,0.557520185,MCI
ADMCI204,0.951735247,MCI
ADMCI205,0.869268329,MCI
ADMCI206,0.970417001,AD
ADMCI207,0.520896587,MCI
ADMCI208,0.975242467,MCI
ADMCI209,0.578595489,AD
ADMCI210,0.926946361,MCI
ADMCI211,0.677222729,AD
ADMCI212,0.921194822,AD
ADMCI213,0.977711454,MCI
ADMCI214,0.678562076,AD
